,model_id,model,d_model,e_layers,seq_len,pred_len,c_out,batch_size,buffer_size,lr,sample_type,eq,edq,ep
30,itf_dm48_el1_sl5_pl1_co4_bs128_bfs200_lr0.001_stlog,itf,48,1,5,1,4,128,200,0.001,log,1.3275383767920583e-05,-1.427533036248499e-05,0.00039649301651285184
234,itf_dm48_el1_sl5_pl8_co4_bs64_bfs500_lr0.001_stlog,itf,48,1,5,8,4,64,500,0.001,log,1.3606359797573725e-05,-1.74086927059525e-05,0.0003982811022066838
414,itf_dm48_el1_sl10_pl3_co4_bs128_bfs200_lr0.001_stlog,itf,48,1,10,3,4,128,200,0.001,log,1.3513140195683612e-05,-1.5547314602749537e-05,0.0003987947522389477
893,itf_dm48_el1_sl40_pl1_co4_bs128_bfs200_lr0.01_stlog,itf,48,1,40,1,4,128,200,0.01,log,1.357262910075635e-05,-1.7883093255877634e-05,0.0003993026756959408
1022,itf_dm48_el1_sl40_pl3_co4_bs128_bfs1000_lr0.001_stlog,itf,48,1,40,3,4,128,1000,0.001,log,1.3432100662138038e-05,-1.5984991040143316e-05,0.0004002306739765345
375,itf_dm48_el1_sl10_pl1_co4_bs32_bfs4000_lr0.0001_stlog,itf,48,1,10,1,4,32,4000,0.0001,log,1.320771909184271e-05,-1.5060761754006561e-05,0.00040119229677077053
1139,itf_dm48_el1_sl40_pl8_co4_bs16_bfs4000_lr0.0001_stlog,itf,48,1,40,8,4,16,4000,0.0001,log,1.2487690495265231e-05,-1.5172621815265006e-05,0.00040196026437104386
334,itf_dm48_el1_sl10_pl1_co4_bs128_bfs500_lr0.001_stlog,itf,48,1,10,1,4,128,500,0.001,log,1.3007855878855248e-05,-1.69021070241665e-05,0.00040296907219272997
866,itf_dm48_el1_sl40_pl1_co4_bs16_bfs128_lr0.001_stlog,itf,48,1,40,1,4,16,128,0.001,log,1.3311807841067487e-05,-1.7346287745948277e-05,0.0004044825368745242
396,itf_dm48_el1_sl10_pl3_co4_bs128_bfs128_lr0.05_stlog,itf,48,1,10,3,4,128,128,0.05,log,1.2659671891520545e-05,-1.2499481708349008e-05,0.00040655134008687186
210,itf_dm48_el1_sl5_pl8_co4_bs16_bfs200_lr0.001_stlog,itf,48,1,5,8,4,16,200,0.001,log,1.3395951391005558e-05,-1.773282634369433e-05,0.000408063102659053
6,itf_dm48_el1_sl5_pl1_co4_bs32_bfs128_lr0.001_stlog,itf,48,1,5,1,4,32,128,0.001,log,1.3157897081048629e-05,-1.935802921497389e-05,0.0004082408315048998
1086,itf_dm48_el1_sl40_pl8_co4_bs128_bfs200_lr0.001_stlog,itf,48,1,40,8,4,128,200,0.001,log,1.335261710343384e-05,-1.5569289212413132e-05,0.00040842152491246024
830,itf_dm48_el1_sl20_pl8_co4_bs128_bfs1000_lr0.001_stlog,itf,48,1,20,8,4,128,1000,0.001,log,1.3550186136307679e-05,-1.5771182692655636e-05,0.0004091074403243177
290,itf_dm48_el1_sl10_pl1_co4_bs16_bfs128_lr0.001_stlog,itf,48,1,10,1,4,16,128,0.001,log,1.3259225128284995e-05,-1.8378162956647626e-05,0.000409824222250761
870,itf_dm48_el1_sl40_pl1_co4_bs32_bfs128_lr0.001_stlog,itf,48,1,40,1,4,32,128,0.001,log,1.3468907269589792e-05,-1.9446472084345794e-05,0.0004108815541739758
734,itf_dm48_el1_sl20_pl3_co4_bs128_bfs1000_lr0.001_stlog,itf,48,1,20,3,4,128,1000,0.001,log,1.3263086835110349e-05,-1.886653421079602e-05,0.00041177622432529064
798,itf_dm48_el1_sl20_pl8_co4_bs128_bfs200_lr0.001_stlog,itf,48,1,20,8,4,128,200,0.001,log,1.3273264645884803e-05,-1.657386253938126e-05,0.00041296146798568335
158,itf_dm48_el1_sl5_pl3_co4_bs128_bfs1000_lr0.001_stlog,itf,48,1,5,3,4,128,1000,0.001,log,1.3485049163912833e-05,-2.064674491867582e-05,0.0004138075242692189
2,itf_dm48_el1_sl5_pl1_co4_bs16_bfs128_lr0.001_stlog,itf,48,1,5,1,4,16,128,0.001,log,1.3127084643701754e-05,-2.0428896011927267e-05,0.0004147536936511955
125,itf_dm48_el1_sl5_pl3_co4_bs128_bfs200_lr0.01_stlog,itf,48,1,5,3,4,128,200,0.01,log,1.3520892253593919e-05,-2.0439190312941755e-05,0.0004154238413096836
1070,itf_dm48_el1_sl40_pl8_co4_bs128_bfs128_lr0.001_stlog,itf,48,1,40,8,4,128,128,0.001,log,1.3515281059681356e-05,-1.7795020145970966e-05,0.00041738242910661075
237,itf_dm48_el1_sl5_pl8_co4_bs128_bfs500_lr0.01_stlog,itf,48,1,5,8,4,128,500,0.01,log,1.3745972936824488e-05,-1.873296578183128e-05,0.00041858311084566694
894,itf_dm48_el1_sl40_pl1_co4_bs128_bfs200_lr0.001_stlog,itf,48,1,40,1,4,128,200,0.001,log,1.345353894251168e-05,-1.9429525285321377e-05,0.00041903793818522176
858,itf_dm48_el1_sl20_pl8_co4_bs64_bfs4000_lr0.001_stlog,itf,48,1,20,8,4,64,4000,0.001,log,1.3449958906724924e-05,-2.3648661660801047e-05,0.00041955724933822724
700,itf_dm48_el1_sl20_pl3_co4_bs128_bfs200_lr0.05_stlog,itf,48,1,20,3,4,128,200,0.05,log,1.3214935918957568e-05,-1.911228826595706e-05,0.00042018163504385284
951,itf_dm48_el1_sl40_pl1_co4_bs32_bfs4000_lr0.0001_stlog,itf,48,1,40,1,4,32,4000,0.0001,log,1.2995534379849907e-05,-2.1897939118225348e-05,0.0004217354275750478
108,itf_dm48_el1_sl5_pl3_co4_bs128_bfs128_lr0.05_stlog,itf,48,1,5,3,4,128,128,0.05,log,1.2569545704326217e-05,-1.8077371410531694e-05,0.0004228972038949852
606,itf_dm48_el1_sl20_pl1_co4_bs128_bfs200_lr0.001_stlog,itf,48,1,20,1,4,128,200,0.001,log,1.3352044017712005e-05,-2.012072905416707e-05,0.00042503771687644494
254,itf_dm48_el1_sl5_pl8_co4_bs128_bfs1000_lr0.001_stlog,itf,48,1,5,8,4,128,1000,0.001,log,1.3006589431520063e-05,-1.9886918988533484e-05,0.0004260426448456134
486,itf_dm48_el1_sl10_pl8_co4_bs32_bfs128_lr0.001_stlog,itf,48,1,10,8,4,32,128,0.001,log,1.352161523617652e-05,-2.1329482102462605e-05,0.00042690379439691827
574,itf_dm48_el1_sl10_pl8_co4_bs128_bfs4000_lr0.001_stlog,itf,48,1,10,8,4,128,4000,0.001,log,1.2880065701413059e-05,-2.368862149603303e-05,0.00042691520588215013
526,itf_dm48_el1_sl10_pl8_co4_bs128_bfs500_lr0.001_stlog,itf,48,1,10,8,4,128,500,0.001,log,1.3411562536951222e-05,-1.8468617736492818e-05,0.00042695383840094816
194,itf_dm48_el1_sl5_pl8_co4_bs16_bfs128_lr0.001_stlog,itf,48,1,5,8,4,16,128,0.001,log,1.2999625727284144e-05,-2.3317830249132594e-05,0.000427758972092604
106,itf_dm48_el1_sl5_pl3_co4_bs64_bfs128_lr0.001_stlog,itf,48,1,5,3,4,64,128,0.001,log,1.3234224501789326e-05,-2.5178083282611976e-05,0.0004281329149211098
774,itf_dm48_el1_sl20_pl8_co4_bs32_bfs128_lr0.001_stlog,itf,48,1,20,8,4,32,128,0.001,log,1.3139140022286474e-05,-2.3116340791044798e-05,0.00042875356277476416
